id	FRE	MRE	rMA
5A_1	0.0216419348040075	0	0
5A_10	0.0053689229902272	0.000524448557766466	0.0889895628496406
5A_100	0.00490990891594542	0	0
5A_101	0.0123445622590591	0.00685088355406282	0.356901507824299
5A_102	0.00731645768642162	0.000187414101869976	0.0249756535236118
5A_103	0.0243772863368284	0.00630409710325059	0.20546977992575
5A_104	0.0119685368010247	0.00215993134503939	0.152877956952545
5A_105	0.00910378600554447	0.0016420556633072	0.152808473631891
5A_106	0.0169301636969744	0.00124099637936108	0.0682948350104098
5A_107	0.0151111170332047	0.000631870097045709	0.0401366076093373
5A_108	0.0270775595264536	0.00319749378624689	0.105614802828622
5A_109	0.0168343359449773	0.00051406024230299	0.0296315715155212
5A_11	0.0209765083398341	0.00858265545291604	0.290355150541203
5A_110	0.0456277462689173	0.000561277893235843	0.0121517590686783
5A_111	0.0270862780995997	0.00199912659517686	0.0687329819253258
5A_112	0.00545750046571145	0.00105552898914146	0.162064212431126
5A_113	0.00513660810528165	0.00335588416183116	0.395158930532893
5A_114	0.00589450612451905	0.00264541933045696	0.309770775448109
5A_115	0.00571952579790426	0.000449501334457087	0.0728642174548241
5A_116	0.0198465136973235	0.000520086365857118	0.0255362389521924
5A_117	0.011752122900066	0.000156129900076864	0.0131110669799512
5A_118	0.00537012684405208	0	0
5A_119	0.00752866650235281	0	0
5A_12	0.0134820843260418	0.000326599169504969	0.0236517239033174
5A_120	0.0205115232538913	0	0
5A_122	0.00465136018134402	0.000424955930496097	0.0837134491102552
5A_123	0.0213001514402429	9.95E-05	0.00464912556179589
5A_124	0.0236348248518817	0.000431079527641342	0.0179124590891392
5A_125	0.00351075940714923	0.0007361447050163	0.173336785002413
5A_126	0.0114522197466547	0.000465776767963647	0.0390818009883066
5A_127	0.00651294658743126	0.00170851212159893	0.207811312087763
5A_128	0.00421994924767217	4.06E-05	0.00952540954203618
5A_129	0.0111786088921983	9.56E-05	0.00848190328654438
5A_13	0.0270697566933829	0.000257968998855964	0.00943982685427887
5A_130	0.00312126240196892	0.00565118883304253	0.644197235373421
5A_131	0.00304137134373013	0	0
5A_132	0.00364053170267591	0	0
5A_133	0.00266542614089026	0.000166034811965575	0.0586392730572926
5A_134	0.00561358805626098	0	0
5A_135	0.00467429275227222	0.00189800483539327	0.288788632905993
5A_136	0.00877673809294212	0.0016495349227926	0.158209450328341
5A_137	0.0194862901806956	0.00236852721854218	0.108375520841679
5A_138	0.0301568236796951	0.000289783999465014	0.00951777625010631
5A_139	0.0114425740398707	7.41E-05	0.00643783521471429
5A_14	0.0143201559103163	0.000334240557704245	0.0228082103847565
5A_140	0.00328883980829972	0.00256173196193998	0.437860103686075
5A_141	0.0162999765461848	0.00116298859703863	0.0665974299038176
5A_142	0.00572646315006319	0.00476168812459245	0.454006430675629
5A_143	0.0110874435703049	0.00400079448401101	0.265159819828439
5A_144	0.0251057179371037	0.00208132015163904	0.0765556050955344
5A_145	0.00637785868674677	0.000376569452289641	0.0557514928781762
5A_146	0.00815876181706923	0.00428100158648882	0.344138505501187
5A_147	0.0220997752395293	5.16E-05	0.00233116799007467
5A_148	0.0149544766469335	0.000540922534658303	0.0349085898542651
5A_149	0.0136958912128991	0.000604707414643223	0.042285461636451
5A_15	0.0611933475527156	0.00123911176542755	0.0198472361806747
5A_150	0.0231864291469539	2.17E-05	0.000933296321788262
5A_151	0.0348170969495943	0.00338244037788201	0.088546632093606
5A_152	0.0190445233079968	0	0
5A_153	0.0156975924876742	0.00191572564699679	0.108765743759876
5A_154	0.0172020185186997	0.000526131182041389	0.029677726718395
5A_155	0.00729808313716763	0.000405216238119797	0.0526029456183088
5A_156	0.0125610656998694	0.00128629591517158	0.0928910467517806
5A_157	0.0150847192850036	4.86E-05	0.00321470312809374
5A_158	0.0105917695448984	0.0054627182486005	0.340261135631655
5A_159	0.0287267780049763	2.83E-05	0.000984592166106062
5A_16	0.0163153328861577	0.000144542612969086	0.00878151313943742
5A_160	0.0176749108569382	0.000590783773139031	0.0323438984995521
5A_161	0.0137848803222903	0.0014762232194557	0.0967310925725367
5A_162	0.0189775615249329	0	0
5A_163	0.0139074723499428	0	0
5A_164	0.0180682698408997	7.75E-05	0.00427095989797656
5A_165	0.0026908429755612	2.09E-05	0.00772198927567999
5A_166	0.00588945849417978	0.00474014604774309	0.445938137119597
5A_167	0.0144008031723309	0.000288255641574699	0.0196238333052229
5A_168	0.00716954925962819	0.00225327510917031	0.23912948188141
5A_169	0.0196948027620503	0.000674455016259183	0.0331114183736919
5A_17	0.00784294566455592	0.000470968176007536	0.0566481906162762
5A_170	0.0112138551483216	0.0111865561030325	0.499390657497695
5A_171	0.0203714746986745	0.00185620837179754	0.0835088554174766
5A_172	0.0111254481157566	0.00322860007900574	0.224926099954425
5A_173	0.019947596504347	0.00815232296637595	0.290119086457517
5A_174	0.0319047432770665	0.00144475202099853	0.0433215557862537
5A_175	0.0141498443967003	0.000245132823285038	0.0170290525326227
5A_176	0.0137642485920228	0.00279043696536934	0.168558741613992
5A_177	0.0121821529660719	0.00991818834907734	0.448779872113499
5A_178	0.0336254743880202	0	0
5A_179	0.0370017546472996	2.43E-05	0.00065496276386923
5A_18	0.0151958017354148	0.000343772863099068	0.0221224114546833
5A_180	0.0141326535506482	0.00241142833886164	0.145757761292917
5A_181	0.0295388913799297	0.000582517808401571	0.0193389958869266
5A_182	0.0147810474464143	0.0015621306640083	0.0955830410372923
5A_183	0.00501748705160149	0.000106606019686578	0.0208048562357163
5A_184	0.0138703202984345	0.000134363453140746	0.00959417974187616
5A_185	0.00763452179526434	0.00757502705366805	0.498044164814249
5A_186	0.00402609741287366	0.000102746059688611	0.024884949107758
5A_187	0.0145946986191832	0.000163750350893609	0.011095363152701
5A_188	0.0080150993040152	0.000263407438626067	0.0318182308494474
5A_189	0.0129508688856909	0.000358549309493788	0.0269395178839229
5A_19	0.0240284370336724	0	0
5A_190	0.00324027167125284	0.00209812318569827	0.393025102473698
5A_191	0.00425042221340056	0.000595843478082206	0.122948991246888
5A_192	0.0209092558110453	0.000944488452866979	0.0432186101137204
5A_193	0.00623208054181765	0.00841406984310607	0.574490198582642
5A_194	0.0183151126205129	0.000617290754968639	0.032604986420692
5A_195	0.0119785834000651	0.000202003398410114	0.0165840449029435
5A_196	0.0115041762128797	0.0010779902512186	0.0856760442881212
5A_197	0.0100060881822971	0.000908118580106149	0.0832051838374912
5A_198	0.00530229886980809	0.00556008723011103	0.511866101882756
5A_199	0.0118544418083531	0.00176423023204528	0.129544953194546
5A_2	0.0116905120513488	0.00162139903573941	0.121800620897481
5A_20	0.0157917949513351	0.000296865104496517	0.018451822803535
5A_200	0.0151398855386084	0.000611214456550624	0.0388045569349744
5A_201	0.0109911674884974	0	0
5A_202	0.00514413979496181	0.00215342379074028	0.295088047599807
5A_203	0.0249563336841794	0.000926231380211637	0.0357859191276964
5A_204	0.00675716703459637	0.000315484555596983	0.0446062628101773
5A_205	0.0065479444884242	0.00546849194406724	0.45508433176419
5A_206	0.008329517202364	0.000439356384345649	0.0501040846354029
5A_207	0.0226497310515658	0.00234093691085677	0.0936724426244523
5A_208	0.00723123129020274	0.000788844425088539	0.0983587254150867
5A_209	0.0103980328364412	0.000234053391709003	0.0220138726009678
5A_21	0.0114716671457645	0.00212593094109682	0.156346064026632
5A_210	0.00707234509874244	0.000497031616733398	0.0656634800217038
5A_211	0.00775718549948297	0	0
5A_212	0.0199148571457085	0.00229375631754918	0.103282283756436
5A_213	0.0224623197325971	0	0
5A_214	0.01999735185642	0.00144678846606776	0.0674677764792729
5A_215	0.0084596330360644	0	0
5A_216	0.0212192636316801	0	0
5A_217	0.0165248135068738	0.000488866309442788	0.0287337198490095
5A_218	0.00771847533305316	0.00102582915528744	0.117313979248464
5A_219	0.00319397652763384	0.000897867564534231	0.219428586307279
5A_22	0.0129796335445989	0.00142576204523107	0.0989741681400021
5A_220	0.00686124691729059	0.00140815214099691	0.170284700384084
5A_221	0.00184509471487716	0.000722446686110294	0.281376840051128
5A_222	0.0201393671543457	3.57E-05	0.00176744517552591
5A_223	0.00929850607438132	0.000469551397818392	0.0480700895909708
5A_224	0.00849160707777959	0.00668939974873962	0.440642694202213
5A_225	0.0170702699606665	0.000180698608620714	0.0104746935161902
5A_226	0.00334827134936469	0.000187527103526682	0.0530367061429457
5A_227	0.0168777471674997	3.24E-05	0.00191769598098786
5A_228	0.0262979989476649	0.000350811143815456	0.013164232947407
5A_229	0.0157374064025494	0.00295546828196765	0.158106676038203
5A_23	0.0145535031090303	0.00127758237251778	0.0807008700702723
5A_230	0.0292948900750891	0.00845911635345862	0.224058772927004
5A_231	0.0399239419114241	0.000150599385554507	0.0037579815184525
5A_232	0.0441942537434098	0.000601121051727638	0.0134192660397807
5A_233	0.00417167046620203	0.000601785296379258	0.126069105132722
5A_234	0.0290964709814779	0.00212362287907207	0.0680210280134841
5A_235	0.026792950968395	0.000704754745348619	0.0256295835254494
5A_236	0.0155077111233106	0.00621225592646906	0.286015900126887
5A_237	0.00912218132387282	0.00313162945752096	0.25556371918816
5A_238	0.0166079856442556	0.000168280916944019	0.0100308919347539
5A_239	0.00499502647926822	8.19E-05	0.0161336804339151
5A_24	0.0197345712319992	0.00557991231566361	0.220423707446277
5A_240	0.00434713720730474	0.00315459799679245	0.420515775479454
5A_241	0.00850387031665846	0.00170688640376692	0.16716551480974
5A_242	0.0498119889021559	0.00346906960409779	0.0651088717332936
5A_243	0.0504063272693683	0	0
5A_244	0.00477263760804895	0.000216216216216216	0.0433398579779122
5A_245	0.0254125726046654	0.000177231641755775	0.00692586938333305
5A_246	0.00829454799772706	0.000120286281349612	0.0142945514267229
5A_247	0.00439927571245708	0.000208116545265349	0.0451701382526147
5A_248	0.0270301092386255	0	0
5A_249	0.0347398087253298	0.00099852598545005	0.0279399136398166
5A_25	0.0337640513580684	0	0
5A_250	0.00369086387118551	0.00152152755883925	0.291905851520446
5A_251	0.028194384884279	0.00427230193712422	0.131590327052028
5A_252	0.00748675776228741	0.00189416083997849	0.201916349590856
5A_253	0.00760662077637183	0	0
5A_254	0.0113235534187306	0	0
5A_255	0.0151988626834446	0.00169231286493998	0.10018917038026
5A_256	0.0232321340824789	8.16E-05	0.0034996890325549
5A_257	0.03432689103594	0.0028435628331227	0.0765006217879255
5A_258	0.016520509067562	0.00462937599298745	0.218884215197111
5A_259	0.0220733763090583	0.00133218999785625	0.0569176571242664
5A_26	0.0212468319317128	9.48E-05	0.00444353187436358
5A_260	0.0156418456891532	0.000416810565552393	0.0259555070450092
5A_261	0.00914143010757126	0.00232980571789607	0.203099801393993
5A_262	0.0124550850357012	0.000856807285750043	0.064364048706235
5A_263	0.0302149895638289	0.000733828787671676	0.0237110438058485
5A_264	0.0187483275036664	0.000315077910174152	0.0165278922277652
5A_265	0.00453803101566828	0.00880120016365868	0.659798158180114
5A_266	0.0111712979623177	0	0
5A_267	0.00911186621490565	0.00081531067627875	0.0821291576865895
5A_268	0.0115558218582954	0	0
5A_269	0.0259138386994002	0.000417225186197836	0.0158453599904119
5A_270	0.0274336668220239	0.000981198505115219	0.0345311685914652
5A_271	0.0188325150941289	0.00140034390798917	0.0692113708617537
5A_272	0.00999825272654023	0.00110076432103259	0.0991767393738086
5A_273	0.006052419176188	0.00130716495669428	0.177613970177191
5A_274	0.0276064425689391	8.46E-05	0.00305645653875871
5A_275	0.0172244245970948	0.0022188592813759	0.114119574411646
5A_276	0.0175125376656122	9.64E-05	0.00547358865554007
5A_277	0.0195616582959302	0.000416229481187295	0.0208345089246141
5A_278	0.0052095915878618	0.00104376506935819	0.166912768065624
5A_279	0.037439016004374	0.0014909166120859	0.0382974362369055
5A_28	0.0258360554869405	0.000186370634470464	0.00716192385755764
5A_280	0.0120089017465813	0.00511410094402735	0.298668465831187
5A_281	0.0366401821884456	0.000473022764842956	0.0127454032988612
5A_282	0.0190788844705185	0.00326129868346522	0.145983524888141
5A_283	0.0285732983507467	0.00246419220699215	0.0793940541812818
5A_284	0.00704062943716326	0.0116587885580625	0.623484033622819
5A_285	0.00846793517093601	0	0
5A_286	0.0134358851775632	0.000502700554139681	0.0360653916986933
5A_287	0.00854476017895513	0.000737940498692421	0.0794963151692868
5A_288	0.00627957276690021	0.00110785787766084	0.149965249213743
5A_289	0.00351903135146668	0.00202236703368883	0.364956080238955
5A_29	0.0156922279234404	0.000576474814734362	0.0354345902074696
5A_290	0.00948025483555642	0.00990107417314143	0.51085630756787
5A_291	0.0251545074786943	0	0
5A_292	0.00707261851213239	0.000265093776923587	0.0361275785259348
5A_293	0.00299130744820044	0.000151828209681359	0.0483046951220928
5A_294	0.00591298434784178	0.00112817026692798	0.16022518019438
5A_295	0.0144549111259759	0.000102590886198728	0.00704728641719782
5A_296	0.0299504410408914	0.00579012425997007	0.162004271931046
5A_297	0.0192364433224764	0.000295139662315677	0.0151108930876459
5A_298	0.00883199494083427	0.000312754112716582	0.034200404066325
5A_299	0.00439297533160327	0.000601054754149217	0.120354652220453
5A_3	0.0146636868168834	0.00103053737679794	0.0656634800217038
5A_30	0.00173188478950934	0.00366268166901078	0.678957557975021
5A_300	0.0226375462725715	0.00361388930449895	0.13766444482204
5A_301	0.141192539319867	0.00747046560111188	0.0502510063285939
5A_302	0.00653370520931437	0.000886198709159616	0.119435334863726
5A_303	0.0172094185508243	0.00199841302495077	0.104041573723042
5A_304	0.0192947473106146	0.00214724715200453	0.100142137232053
5A_305	0.0228100526178066	0.000701027642794551	0.0298169048390899
5A_306	0.018085928230189	0.00114355195923744	0.0594686880754185
5A_307	0.017241176789548	0.00442095369602172	0.204086744790257
5A_308	0.0239955911865888	0.000636899973183159	0.0258560926319665
5A_309	0.0522665698133235	0.000845841535433071	0.0159254967709703
5A_31	0.00285174397363073	0.00226327701457971	0.442476584122786
5A_310	0.0213075359180656	0.00314779600562951	0.12871614318919
5A_311	0.00881885101559378	0.00086435759708588	0.0892635521612174
5A_312	0.0177010400507245	0.000954594970969082	0.0511692563592201
5A_313	0.0100593951645268	0.000406527672919449	0.0388429839617129
5A_314	0.0107899806175541	0.000976909413854352	0.0830218869426639
5A_315	0.0477120674014154	0.001144548043102	0.02342667482568
5A_316	0.0204085680336224	0.000172644481850749	0.00838845047253425
5A_317	0.017095754676301	0.00352788421952687	0.171060220620938
5A_32	0.00774678078655201	0.000192151671719544	0.0242037166495026
5A_323	0.00310474275939932	0.00295473348303983	0.487621927180037
5A_324	0.0167334798671625	0.00442640436122304	0.209188496186813
5A_325	0.0102519248548291	0.00117285582132946	0.102658935394444
5A_326	0.0141368248935382	0.00174040487313364	0.109616406558968
5A_327	0.0216165640927387	0.000349235174966823	0.0158990424482424
5A_328	0.0236913185328287	0.00606982703395259	0.203951390927895
5A_33	0.00608027693900511	0.000308613399993828	0.0483046951220928
5A_330	0.00773064119325236	0.00274234858872533	0.261849638528671
5A_331	0.0184213832643754	0.000392190297553074	0.0208461351726776
5A_332	0.00897142271263736	0.00148635645061516	0.142129263528346
5A_333	0.0200850231736974	0.000150885582302282	0.00745632845658817
5A_334	0.0366235139980849	0.000201799116740789	0.00547990226482408
5A_335	0.0064419400255145	0.00144493392070485	0.183207431811116
5A_34	0.00849282584673226	0.00152911879068548	0.152577054255158
5A_346	0.0143366255427853	0.00475637208626825	0.249116046556804
5A_347	0.0115372563054487	0.00268997982515131	0.189072550737082
5A_348	0.00634896233888375	0.00351958429630972	0.35664667011433
5A_349	0.00827792134616497	0.00110192400688108	0.117477843760317
5A_35	0.00403193286641134	0.00196460816179126	0.327623567078324
5A_350	0.027698253179072	0.000221293656682418	0.00792611921619815
5A_36	0.0131086023955432	0.00340838023764853	0.206356107125717
5A_37	0.00762344213957617	0.000234114364867238	0.0297948051324667
5A_38	0.0145664083241112	0.000378340033104753	0.0253159186131144
5A_39	0.00393466945221736	0.00187300774796994	0.322505484276835
5A_4	0.00827914892715204	0.000373529228662143	0.043169204023976
5A_40	0.0124467589979136	0.0012092460815776	0.0885505002772488
5A_41	0.00295056729714331	0.000898562300319489	0.233445582323803
5A_42	0.00640499324243518	0.000469124219155083	0.0682450106179238
5A_43	0.0189963745665374	7.00E-05	0.00367041582752942
5A_44	0.0257796345217429	0.00137891154949625	0.0507726571915613
5A_45	0.00852811832820422	0.00196926238280748	0.187595595227078
5A_46	0.0175351294830612	0.00237339010854769	0.119214796340158
5A_47	0.0075280899413696	6.30E-05	0.00829703452517874
5A_48	0.0431313646074105	0.0010853478046374	0.0245460990976269
5A_49	0.0192738301472339	0.000655172723274787	0.0328753388983813
5A_5	0.00767072225450564	4.45E-05	0.00576728502209369
5A_50	0.00787916335017159	0.0028764326273902	0.267435912746349
5A_51	0.00618328713394164	0.00322808743505396	0.342998507963802
5A_52	0.0114224737110773	0.00509975478814837	0.308660226336137
5A_53	0.00992512341043488	0.00201505695334583	0.168762689670777
5A_54	0.026418778405749	0.0020406306458531	0.0717031981287126
5A_55	0.0247035230277805	0.000903948212515309	0.0353001748604079
5A_56	0.0123645281924576	0.00111195350012636	0.0825106675088842
5A_57	0.0376210319359028	0.00108437697209951	0.0280161611178669
5A_58	0.0324648517303046	3.18E-05	0.000979525184865714
5A_59	0.00551178717738058	0.000626556722721577	0.102072600186371
5A_6	0.0199561383468263	0.00102626599531766	0.0489107910887204
5A_60	0.00227436178229134	0.00554105173424263	0.708990218178501
5A_61	0.0379085359089941	0.000439962691163789	0.0114727487965325
5A_62	0.014736402219264	0.000341073303833484	0.0226213800387862
5A_63	0.0101796794999138	0	0
5A_64	0.0388459766083075	0.00276997653214327	0.0665604491334082
5A_65	0.0180745314749236	0.0003000300030003	0.016328553111908
5A_66	0.00669779304167961	0.00153594731086345	0.186543083106702
5A_67	0.00950262266629046	0	0
5A_68	0.0473732881508572	0.000507199413902899	0.0105930294301388
5A_69	0.0129357274343359	0.000641916251912559	0.0472774412663882
5A_7	0.00421725838405312	9.01E-05	0.0209239763287942
5A_70	0.0204381411833866	0	0
5A_71	0.0115746615968987	0.000228549327098039	0.0193633180470733
5A_72	0.00506345961589778	0.00285070811183703	0.360203145789653
5A_73	0.0285764732277757	0.00128439045469823	0.0430125018604893
5A_74	0.0196994589330916	0.000269966254218223	0.0135189797245531
5A_75	0.0118763618527526	0.00131964809384164	0.100003569198751
5A_76	0.0181521357046344	0.000298192494724287	0.0161619073385725
5A_77	0.015502402200841	0.000238124818818073	0.0151281350694718
5A_78	0.012453070497531	0	0
5A_79	0.0141285173697452	0.00110787622703733	0.0727124972192423
5A_8	0.0167781100156448	0.00674010313969361	0.286590783711971
5A_80	0.0143916805299262	0.000253278860024887	0.0172946099255612
5A_81	0.00868716129959329	0.000199129519528916	0.0224086206024694
5A_82	0.0200948007735932	0.000241474234699158	0.0118740641833715
5A_83	0.0130518153588361	0.000697330618392792	0.0507181042042683
5A_84	0.0132542136229625	0.00280336403684421	0.174582000861888
5A_85	0.00785703326956004	0.000303560587121888	0.0371983451759864
5A_86	0.0197500534888209	0.000210302730780959	0.0105360209240371
5A_87	0.00141922524333077	9.60E-05	0.0633856519650285
5A_88	0.0276006090763034	0	0
5A_89	0.0115032054605822	0.00162411240368636	0.123720048564303
5A_9	0.0214812880597401	0.00185613042236702	0.0795345219433814
5A_90	0.0164384553813326	0.00085875441575424	0.0496469908053533
5A_91	0.00493564195715872	0.00194518125552608	0.282696008224734
5A_92	0.00581629126699358	0.00341827221876942	0.370160671269346
5A_93	0.0138464985612789	0.00185774946921444	0.118295983711363
5A_94	0.00627712461804795	0.000345913667231052	0.052228849106899
5A_95	0.0170049381714641	0.00243828758846884	0.125405507222648
5A_96	0.00966647688334232	0.00803532581024411	0.453926978474085
5A_97	0.0130793800671879	0.00179034877104354	0.12040224744653
5A_98	0.0229102858910187	0.0022347744989354	0.0888752885965721
5A_99	0.00264880259644005	0.00234223902500656	0.469288618019515
