id	plant_weight	female_flowers_weight	male_flowers_weight	phenotyped_at
1A_143	7.2736	0.33629	0.01672	half_plant
1A_144	4.2972	0.06823	0.01099	half_plant
1A_145	4.5655	0.01376	0.05062	half_plant
1A_146	5.8901	0.01524	0.14225	half_plant
1A_148	5.4365	0.20998	0.05567	half_plant
1A_149	5.5854	0.05164	0.0044	half_plant
1A_150	7.0049	0.21145	0.04703	half_plant
1A_151	3.9796	0	0.19863	half_plant
1A_152	1.2924	0.09531	0.00247	half_plant
1A_153	5.3084	0.10885	0.03954	half_plant
1A_154	2.9975	0.00312	0.038	half_plant
1A_155	2.8247	0.01217	0.02455	half_plant
1A_156	11.3555	0.23856	0.18643	half_plant
1A_157	5.0824	0.0933	0.04462	half_plant
1A_158	6.0496	0.32426	0.00126	half_plant
1A_159	1.9922	0.02928	0.04824	half_plant
1A_160	5.6712	0.03618	0.03941	half_plant
1A_161	3.9653	0.09119	0.04213	half_plant
1A_162	4.6656	0.08465	0.00922	half_plant
1A_163	3.8789	0.10666	0.02435	half_plant
1A_164	4.9125	0.26366	0.03649	half_plant
1A_165	6.1709	0.21906	0.06552	half_plant
1A_166	7.5128	0.26565	0.10187	half_plant
1A_167	6.1308	0.01819	0.09664	half_plant
1A_168	5.2025	0.08939	0.13954	half_plant
1A_169	5.888	0.0044	0.09862	half_plant
1A_170	3.7179	0.00995	0.0802	half_plant
1A_171	3.8047	0.0163	0.01636	half_plant
1A_172	4.5364	0.09445	0.02048	half_plant
1A_173	2.3902	0.04558	0.01945	half_plant
1A_174	3.5257	0.02023	0.01851	half_plant
1A_175	2.5356	0.04254	0.01903	half_plant
1A_176	4.6024	0.0319	0.00666	half_plant
1A_177	7.2992	0.00329	0.06982	half_plant
1A_178	3.3817	0.02367	0.02582	half_plant
1A_179	2.8386	0.02186	0.01997	half_plant
1A_180	4.9159	0.0383	0.00388	half_plant
1A_181	3.9403	0.0809	0.00372	half_plant
1A_182	12.8389	0.2335	0.08592	half_plant
1A_183	6.0044	0.0551	0.03824	half_plant
1A_184	4.4002	0.0562	0.03112	half_plant
1A_185	4.6293	0.05003	0.02951	half_plant
1A_186	6.8355	0.09082	0.07251	half_plant
1A_187	4.6873	0.05415	0.02197	half_plant
1A_188	3.1969	0.02735	0.02179	half_plant
1A_189	3.6594	0.02396	0.07314	half_plant
1A_190	5.1524	0.051	0.03061	half_plant
1A_191	4.0546	0.1052	0.01212	half_plant
1A_192	4.1808	0.0168	0.05313	half_plant
1A_193	5.1145	0.272	0.00941	half_plant
1A_194	2.5338	0.0105	0.03251	half_plant
1A_195	4.2399	0.0578	0.00258	half_plant
1A_196	4.5653	0.071	0.03794	half_plant
1A_197	4.0284	0.0081	0.09102	half_plant
1A_198	4.5212	0.0265	0.01336	half_plant
1A_199	6.0259	0.0119	0.00853	half_plant
1A_200	4.4992	0.0209	0.01812	half_plant
1A_201	5.0847	0.1102	0.01958	half_plant
1A_202	5.6224	0.0533	0.01177	half_plant
1A_203	6.2277	0.0307	0.0223	half_plant
1A_204	8.3655	0.092	0.0112	half_plant
1A_205	7.5972	0.121	0.07991	half_plant
1A_206	6.5663	0.2533	0.01468	half_plant
1A_207	4.5364	0.0419	0.02173	half_plant
1A_208	4.6988	0.1025	0.09041	half_plant
1A_209	6.222	0.0867	0.10908	half_plant
1A_210	5.7734	0.1033	0.03581	half_plant
1A_211	3.4981	0.0252	0.03388	half_plant
1A_212	5.3765	0.1139	0.03642	half_plant
1A_213	3.4249	0.0272	0.04659	half_plant
1A_214	5.2543	0.2245	0.04769	half_plant
1A_215	4.3842	0.0213	0.07367	half_plant
1A_216	3.1159	0.1369	0.08089	half_plant
1A_217	4.8955	0.0567	0.00536	half_plant
1A_218	5.8642	0.0829	0.07265	half_plant
1A_219	6.6847	0.0212	0.08317	half_plant
1A_220	5.505	0.0449	0.0292	half_plant
1A_221	6.4264	0.2082	0.02627	half_plant
1A_222	5.9745	0.1186	0.02723	half_plant
1A_223	6.3851	0.1357	0.0079	half_plant
1A_224	5.7409	0.1671	0.05215	half_plant
1A_225	3.7746	0.0297	0.01049	half_plant
1A_226	3.8633	0.1264	0.05559	half_plant
1A_227	5.566	0.1713	0.04031	half_plant
1A_228	4.8694	0.1121	0.05805	half_plant
1A_229	8.3263	0.1552	0.11425	half_plant
1A_230	3.8219	0.0057	0.01484	half_plant
1A_231	7.2041	0.0721	0.07606	half_plant
1A_232	4.0773	0.0426	0.02221	half_plant
1A_233	2.5496	0.0209	0.02902	half_plant
1A_234	3.4447	0.0177	0.05165	half_plant
1A_235	3.5062	0.0416	0.05494	half_plant
1A_236	4.7972	0.0239	0.04202	half_plant
1A_237	4.3719	0.1046	0.02439	half_plant
1A_238	4.9478	0.0428	0.05099	half_plant
1A_239	4.7565	0.1979	0.03776	half_plant
1A_240	4.6742	0.1108	0.00882	half_plant
1A_241	3.4756	0.0548	0.01275	half_plant
1A_242	3.8666	0.0138	0.02208	half_plant
1A_243	2.4541	0.004	0.00081	half_plant
1A_244	4.7587	0.0548	0.01409	half_plant
1A_245	2.7068	0.0508	0.01665	half_plant
1A_246	6.1526	0.1093	0.02842	half_plant
1A_248	3.2126	0.0166	0.06154	half_plant
1A_249	3.5842	0.1552	0.02556	half_plant
1A_250	4.6416	0.0177	0.01591	half_plant
1A_251	2.8182	0.0997	0.00654	half_plant
1A_252	5.2389	0.0048	0.04077	half_plant
1A_253	2.2821	0.0167	0.00563	half_plant
1A_254	2.5454	0.0646	0.0103	half_plant
1A_255	2.2966	0.0415	0.00368	half_plant
1A_256	2.3799	0.0352	0.00741	half_plant
1A_277	4.8486	0.0069	0.02113	half_plant
1A_278	4.9137	0.0839	0.00933	half_plant
1A_279	3.7206	0.0368	0.03034	half_plant
1A_280	3.7873	0.1211	0.05786	half_plant
1A_281	3.4624	0.0274	0.00169	half_plant
1A_282	7.1252	0.0338	0.04111	half_plant
1A_283	4.5553	0.0046	0.06329	half_plant
1A_284	2.9877	0.132	0.02625	half_plant
1A_285	2.8707	0.0016	0.00604	half_plant
1A_300	4.6035	0.0314	0.02582	half_plant
1A_301	5.1613	0.0995	0.01885	half_plant
1A_302	5.5414	0.0088	0.04711	half_plant
1A_303	9.4582	0.1729	0.03833	half_plant
1A_304	2.8906	0.0022	0.02409	half_plant
1A_305	6.5847	0.1878	0.06879	half_plant
1A_306	2.6959	0.0602	0.00926	half_plant
1A_307	2.662	0.029	0.04566	half_plant
1A_308	5.1053	0.1517	0.05295	half_plant
1A_309	4.4439	0.0366	0.05521	half_plant
