id	FRE	MRE	rMA
1A_1	0.00717	0.00564	0.44018
1A_2	0.02644	0.00122	0.04398
1A_3	0.02270	0.01177	0.34147
1A_4	0.02121	0.03165	0.59876
1A_5	0.08341	0.02541	0.23354
1A_6	0.01687	0.01202	0.41610
1A_7	0.02276	0.02038	0.47237
1A_8	0.02938	0.03647	0.55385
1A_9	0.05716	0.01381	0.19465
1A_10	0.00848	0.00714	0.45710
1A_11	0.02870	0.05997	0.67637
1A_12	0.00836	0.00282	0.25200
1A_13	0.02470	0.01917	0.43693
1A_14	0.01215	0.01363	0.52868
1A_15	0.00265	0.00774	0.74456
1A_16	0.02450	0.04453	0.64505
1A_17	0.04262	0.00688	0.13901
1A_18	0.00641	0.00145	0.18478
1A_20	0.01417	0.00140	0.08999
1A_21	0.00931	0.00766	0.45142
1A_22	0.00036	0.00643	0.94764
1A_23	0.04576	0.02324	0.33679
1A_26	0.02426	0.02208	0.47646
1A_27	0.00489	0.03590	0.88016
1A_28	0.03168	0.01151	0.26645
1A_29	0.02955	0.01544	0.34312
1A_30	0.05370	0.01856	0.25682
1A_31	0.01108	0.01740	0.61092
1A_32	0.01707	0.04086	0.70530
1A_33	0.02241	0.01727	0.43523
1A_34	0.00780	0.01096	0.58423
1A_35	0.04353	0.01148	0.20863
1A_36	0.03950	0.00145	0.03534
1A_37	0.00527	0.00703	0.57153
1A_38	0.03698	0.01154	0.23786
1A_39	0.03968	0.04739	0.54427
1A_40	0.00971	0.01033	0.51555
1A_41	0.05462	0.02491	0.31324
1A_42	0.05726	0.00896	0.13534
1A_43	0.00420	0.02616	0.86161
1A_44	0.02425	0.00724	0.22988
1A_45	0.04025	0.02246	0.35819
1A_46	0.05079	0.02063	0.28884
1A_53	0.04796	0.03368	0.41251
1A_54	0.10857	0.01641	0.13129
1A_55	0.00529	0.02190	0.80559
1A_56	0.00390	0.00411	0.51327
1A_57	0.04905	0.01364	0.21753
1A_58	0.00305	0.00633	0.67470
1A_59	0.06689	0.00712	0.09616
1A_60	0.01048	0.00428	0.28981
1A_61	0.04698	0.00983	0.17301
1A_62	0.10387	0.00186	0.01756
1A_63	0.02996	0.04404	0.59515
1A_64	0.01086	0.00020	0.01764
1A_65	0.01577	0.00268	0.14535
1A_66	0.07563	0.00967	0.11335
1A_67	0.12408	0.00000	0.00000
1A_68	0.01184	0.01999	0.62800
1A_69	0.03558	0.01392	0.28119
1A_71	0.00579	0.01030	0.64018
1A_72	0.03864	0.02056	0.34722
1A_73	0.01537	0.00855	0.35738
1A_74	0.03569	0.02089	0.36918
1A_75	0.01009	0.05449	0.84377
1A_76	0.02652	0.04998	0.65330
1A_77	0.02139	0.02405	0.52927
1A_78	0.03662	0.02344	0.39029
1A_79	0.01586	0.03167	0.66632
1A_80	0.04701	0.00188	0.03846
1A_81	0.05237	0.02841	0.35170
1A_82	0.08486	0.01416	0.14295
1A_83	0.02250	0.02542	0.53046
1A_84	0.09659	0.01559	0.13900
1A_85	0.02116	0.00481	0.18519
