id	plant_weight	female_flowers_count	male_flowers_weight
5A_89	10.5904	371	0.0172
5A_90	10.2474	513	0.0088
5A_91	1.131	17	0.0022
5A_92	9.654	171	0.033
5A_93	6.7824	286	0.0126
5A_94	5.4927	105	0.0019
5A_95	4.6344	240	0.0113
5A_96	10.8023	318	0.0868
5A_97	7.2053	287	0.0129
5A_98	11.3658	793	0.0254
5A_99	10.2893	83	0.0241
5A_100	7.0222	105	0
5A_101	5.2402	197	0.0359
5A_102	4.8022	107	0.0009
5A_103	8.9307	663	0.0563
5A_104	10.3707	378	0.0224
5A_105	8.4041	233	0.0138
5A_106	7.8163	403	0.0097
5A_107	8.3878	386	0.0053
5A_108	7.7248	637	0.0247
5A_109	7.1976	369	0.0037
5A_110	6.5921	916	0.0037
5A_111	10.3045	850	0.0206
5A_112	17.1478	285	0.0181
5A_113	7.4794	117	0.0251
5A_114	3.1753	57	0.0084
5A_115	3.5595	62	0.0016
5A_116	12.6902	767	0.0066
5A_117	8.3264	298	0.0013
5A_118	9.172	150	0
5A_119	7.6763	176	0
5A_120	5.443	340	0
5A_122	6.3536	90	0.0027
5A_123	10.0513	652	0.001
5A_124	7.6552	551	0.0033
5A_125	5.7054	61	0.0042
5A_126	8.8025	307	0.0041
5A_127	10.1843	202	0.0174
5A_128	7.3922	95	0.0003
5A_129	10.4573	356	0.001
5A_130	7.6798	73	0.0434
5A_131	7.9895	74	0
5A_132	9.2903	103	0
5A_133	10.8411	88	0.0018
5A_134	4.4456	76	0
5A_135	4.4257	63	0.0084
5A_136	6.5473	175	0.0108
5A_137	7.6841	456	0.0182
5A_138	4.4861	412	0.0013
5A_139	2.6975	94	0.0002
5A_140	5.1918	52	0.0133
5A_141	7.0508	350	0.0082
5A_142	6.5943	115	0.0314
5A_143	7.0486	238	0.0282
5A_144	9.4171	720	0.0196
5A_145	10.0911	196	0.0038
5A_146	11.9131	296	0.051
5A_147	5.8096	391	0.0003
5A_148	11.4619	522	0.0062
5A_149	6.4494	269	0.0039
5A_150	4.6168	326	0.0001
5A_151	15.137	1605	0.0512
5A_152	10.4314	605	0
5A_153	11.3795	544	0.0218
5A_154	17.6762	926	0.0093
5A_155	8.1438	181	0.0033
5A_156	8.9404	342	0.0115
5A_157	14.3887	661	0.0007
5A_158	19.2212	620	0.105
5A_159	10.5962	927	0.0003
5A_160	9.1404	492	0.0054
5A_161	11.0528	464	0.0163164
5A_162	5.5196	319	0
5A_163	9.2554	392	0
5A_164	10.3226	568	0.0008
5A_165	14.3264	117.4	0.0003
5A_166	2.3417	42	0.0111
5A_167	4.8568	213	0.0014
5A_168	5.725	125	0.0129
5A_169	8.303	498	0.0056
5A_170	9.9852	341	0.1117
5A_171	10.0743	625	0.0187
5A_172	13.1636	446	0.0425
5A_173	14.5848	886	0.1189
5A_174	9.0673	881	0.0131
5A_175	7.7509	334	0.0019
5A_176	8.2066	344	0.0229
5A_177	9.3263	346	0.0925
5A_178	7.5584	774	0
5A_179	12.3708	1394	0.0003
5A_180	9.8282	423	0.0237
5A_181	12.0168	1081	0.007
5A_182	9.7303	438	0.0152
5A_183	8.4423	129	0.0009
5A_184	11.908	503	0.0016
5A_185	9.3333	217	0.0707
5A_186	14.5991	179	0.0015
5A_187	4.2748	190	0.0007
5A_188	5.6946	139	0.0015
5A_189	16.7341	660	0.006
5A_190	10.4379	103	0.0219
5A_191	9.7341	126	0.0058
5A_192	3.2822	209	0.0031
5A_193	11.0648	210	0.0931
5A_194	9.0719	506	0.0056
5A_195	8.4157	307	0.0017
5A_196	8.5344	299	0.0092
5A_197	4.9553	151	0.0045
5A_198	12.0142	194	0.0668
5A_199	12.2433	442	0.0216
5A_200	7.526	347	0.0046
5A_201	5.8257	195	0
5A_202	19.5967	307	0.0422
5A_203	7.8814	599	0.0073
5A_204	13.9468	287	0.0044
5A_205	8.1741	163	0.0447
5A_206	12.0631	306	0.0053
5A_207	11.1921	772	0.0262
5A_208	12.1697	268	0.0096
5A_209	7.2633	230	0.0017
5A_210	3.6215	78	0.0018
5A_211	4.4447	105	0
5A_212	2.5722	156	0.0059
5A_213	5.058	346	0
5A_214	2.9721	181	0.0043
5A_215	1.7467	45	0
5A_216	11.9466	772	0
5A_217	10.4323	525	0.0051
5A_218	14.7198	346	0.0151
5A_219	8.019	78	0.0072
5A_220	13.2088	276	0.0186
5A_221	3.7373	21	0.0027
5A_222	2.8044	172	0.0001
5A_223	13.843	392	0.0065
5A_224	12.2582	317	0.082
5A_225	7.1943	374	0.0013
5A_226	8.5321	87	0.0016
5A_227	6.1674	317	0.0002
5A_228	11.6872	936	0.0041
5A_229	7.5115	360	0.0222
5A_230	8.0032	714	0.0677
5A_231	9.9602	1211	0.0015
5A_232	12.8094	1724	0.0077
5A_233	2.9911	38	0.0018
5A_234	9.2766	822	0.0197
5A_235	6.3852	521	0.0045
5A_236	8.6603	409	0.0538
5A_237	7.9192	220	0.0248
5A_238	10.6964	541	0.0018
5A_239	8.546	130	0.0007
5A_240	13.2188	175	0.0417
5A_241	10.194	264	0.0174
5A_242	11.6746	1771	0.0405
5A_243	5.6675	870	0
5A_244	8.325	121	0.0018
5A_245	1.6927	131	0.0003
5A_246	1.6627	42	0.0002
5A_247	7.688	103	0.0016
5A_248	8.7831	723	0
5A_249	12.6186	1335	0.0126
5A_250	7.2953	82	0.0111
5A_251	9.5967	824	0.041
5A_252	8.5526	195	0.0162
5A_253	7.6408	177	0
5A_254	1.8559	64	0
5A_255	8.9227	413	0.0151
5A_256	8.5794	607	0.0007
5A_257	7.2796	761	0.0207
5A_258	10.9518	551	0.0507
5A_259	6.5306	439	0.0087
5A_260	8.3971	400	0.0035
5A_261	10.1296	282	0.0236
5A_262	10.3874	394	0.0089
5A_263	13.8997	1279	0.0102
5A_264	10.4736	598	0.0033
5A_265	10.9985	152	0.0968
5A_266	8.3478	284	0
5A_267	6.9912	194	0.0057
5A_268	11.3094	398	0
5A_269	11.2649	889	0.0047
5A_270	6.9303	579	0.0068
5A_271	9.7119	557	0.0136
5A_272	11.2649	343	0.0124
5A_273	10.6337	196	0.0139
5A_274	10.6337	894	0.0009
5A_275	9.7798	513	0.0217
5A_276	12.4502	664	0.0012
5A_277	11.5321	687	0.0048
5A_278	9.5807	152	0.01
5A_279	11.6036	1323	0.0173
5A_280	6.7265	246	0.0344
5A_281	20.0836	2241	0.0095
5A_282	11.6518	677	0.038
5A_283	7.7916	678	0.0192
5A_284	8.2084	176	0.0957
5A_285	3.1022	80	0
5A_286	8.5538	350	0.0043
5A_287	7.7242	201	0.0057
5A_288	15.1644	290	0.0168
5A_289	5.7853	62	0.0117
5A_290	11.7765	340	0.1166
5A_291	6.6314	508	0
5A_292	3.0178	65	0.0008
5A_293	15.1487	138	0.0023
5A_294	13.8277	249	0.0156
5A_295	10.7222	472	0.0011
5A_296	15.371	1402	0.089
5A_297	17.9576	1052	0.0053
5A_298	7.9935	215	0.0025
5A_299	5.1576	69	0.0031
5A_300	8.6887	599	0.0314
5A_301	1.1512	495	0.0086
5A_302	5.9806	119	0.0053
5A_303	10.2081	535	0.0204
5A_304	7.7774	457	0.0167
5A_305	12.553	872	0.0088
5A_306	13.8166	761	0.0158
5A_307	17.2361	905	0.0762
5A_308	2.9832	218	0.0019
5A_309	6.5024	1035	0.0055
5A_310	9.3081	604	0.0293
5A_311	12.9576	348	0.0112
5A_312	8.9043	480	0.0085
5A_313	6.8876	211	0.0028
5A_314	16.89	555	0.0165
5A_315	14.3288	2082	0.0164
5A_316	4.6338	288	0.0008
5A_317	15.7885	822	0.0557
5A_323	5.0766	48	0.015
5A_324	16.876	860	0.0747
5A_325	12.1072	378	0.0142
5A_326	2.1834	94	0.0038
5A_327	11.4536	754	0.004
5A_328	12.488	901	0.0758
5A_330	19.3265	455	0.053
5A_331	5.8645	329	0.0023
5A_332	11.6392	318	0.0173
5A_333	8.6158	527	0.0013
5A_334	12.8841	1437	0.0026
5A_335	8.5125	167	0.0123
5A_346	11.0168	481	0.0524
5A_347	20.5206	721	0.0552
5A_348	6.6201	128	0.0233
5A_349	12.6143	318	0.0139
5A_350	7.6821	648	0.0017
