id	plant_weight	female_flowers_count	male_flowers_weight
5A_1	8.2084	541	0
5A_2	11.6566	415	0.0189
5A_3	11.3533	507	0.0117
5A_4	6.4252	162	0.0024
5A_5	4.4948	105	0.0002
5A_6	6.2362	379	0.0064
5A_7	8.8763	114	0.0008
5A_8	10.5488	539	0.0711
5A_9	7.7042	504	0.0143
5A_10	3.2415	53	0.0017
5A_11	8.7036	556	0.0747
5A_12	2.1433	88	0.0007
5A_13	8.9158	735	0.0023
5A_14	6.2829	274	0.0021
5A_15	8.151	1519	0.0101
5A_16	5.5347	275	0.0008
5A_17	2.9726	71	0.0014
5A_18	11.3447	525	0.0039
5A_19	2.3505	172	0
5A_20	5.0528	243	0.0015
5A_21	7.385	258	0.0157
5A_22	10.17	402	0.0145
5A_23	6.3401	281	0.0081
5A_24	9.5342	573	0.0532
5A_25	7.4204	763	0
5A_26	13.7084	887	0.0013
5A_28	12.341	971	0.0023
5A_29	11.9693	572	0.0069
5A_30	3.4128	18	0.0125
5A_31	3.7998	33	0.0086
5A_32	9.3676	221	0.0018
5A_33	3.2403	60	0.001
5A_34	11.4445	296	0.0175
5A_35	6.9225	85	0.0136
5A_36	9.594	383	0.0327
5A_37	5.1257	119	0.0012
5A_38	10.5725	469	0.004
5A_39	8.5958	103	0.0161
5A_40	4.3002	163	0.0052
5A_41	5.008	45	0.0045
5A_42	12.1503	237	0.0057
5A_43	8.5737	496	0.0006
5A_44	4.4963	353	0.0062
5A_45	7.0077	182	0.0138
5A_46	5.7302	306	0.0136
5A_47	7.9386	182	0.0005
5A_48	8.108	1065	0.0088
5A_49	11.1421	654	0.0073
5A_50	6.7097	161	0.0193
5A_51	13.0108	245	0.042
5A_52	12.2751	427	0.0626
5A_53	3.5731	108	0.0072
5A_54	7.6937	619	0.0157
5A_55	3.4294	258	0.0031
5A_56	7.914	298	0.0088
5A_57	11.2507	1289	0.0122
5A_58	15.7078	1553	0.0005
5A_59	12.9278	217	0.0081
5A_60	3.7538	26	0.0208
5A_61	5.6823	656	0.0025
5A_62	11.1413	500	0.0038
5A_63	4.645	144	0
5A_64	5.1986	615	0.0144
5A_65	8.6658	477	0.0026
5A_66	8.1383	166	0.0125
5A_67	9.5718	277	0
5A_68	7.0978	1024	0.0036
5A_69	11.3722	448	0.0073
5A_70	8.8204	549	0
5A_71	11.3761	401	0.0026
5A_72	9.8572	152	0.0281
5A_73	8.3308	725	0.0107
5A_74	6.6675	400	0.0018
5A_75	8.184	296	0.0108
5A_76	4.3596	241	0.0013
5A_77	9.6588	456	0.0023
5A_78	5.6428	214	0
5A_79	7.7626	334	0.0086
5A_80	9.0809	398	0.0023
5A_81	3.5153	93	0.0007
5A_82	14.4943	887	0.0035
5A_83	14.3404	570	0.01
5A_84	9.4886	383	0.0266
5A_85	11.2004	268	0.0034
5A_86	9.5101	572	0.002
5A_87	8.3293	36	0.0008
5A_88	10.8263	910	0
